序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
147,搭顺风车,习语。❶搭便车：我哋顺路㖞，可唔可以搭你嘅顺风车吖［我们顺路，能不能搭你的顺风车］？➋沾光：畀佢搭下顺风车啦，佢冇嘢做都几艰难［你就让他沾沾光吧，他没工作也挺难的］。,daab8 soen6fung1ce1,四字组习语,现代粤语词典-1351
148,搭头搭尾,习语。卖东西时用来凑秤的次货、碎品。,daab8tau2 daab8mei4,四字组习语,现代粤语词典-1352
149,打白鸽转,习语。打一个转：去香港打个白鸽转，乜都冇买到［去香港打个转，什么都没买到］。,daa3 baag9gab8zyun5,四字组习语,现代粤语词典-1353
150,打大赤肋,习语。同“打赤肋”。,daa3daai6ceg8laag9,四字组习语,现代粤语词典-1354
151,打鼓趁兴,习语。趁人高兴时敲锣打鼓。❶抓住机会，顺势而行：最好依家就提出嚟商量，～吖嘛［最好现在就提出来商量，趁大家高兴嘛］。➋趁机添乱：唔好度～喇，人哋都够闭翳咯［别在这添乱了，人家也够愁的了］。,daa3gu3 can5hing5,四字组习语,现代粤语词典-1355
152,打烂斋钵,习语。把吃斋的碗打破，比喻破戒或还俗。,daa3laan6 zaai1bud8,四字组习语,现代粤语词典-1356
153,打锣噉揾,习语。敲锣大喊找人或物：我哋～佢［我们到处找他］。,daa3lo3 gam3wan3,四字组习语,现代粤语词典-1357
154,打雀噉眼,习语。眼睛像打鸟那样注视，比喻色迷迷地盯住女性。,daa3zoeg8 gam3ngaan4,四字组习语,现代粤语词典-1358
155,打铁趁热,习语。同“趁热打铁”（79页）。,daa3tid8 can5yid9,四字组习语,现代粤语词典-1359
156,打醒精神,习语。提起精神；当心：晚黑揸车要～吖［晚上开车要打起精神啊］。又说“打醒十二分精神”。,daa3seng3 zing1san2,四字组习语,现代粤语词典-1360
157,打友谊波,习语。打友谊球赛，比喻联络感情的举动：我哋唔计较输赢嘅，打～啫［我们不论输赢，只是友谊比赛而已］。,daa3 yau4yi2bo1,四字组习语,现代粤语词典-1361
158,打住家工,习语。做家佣：～自由啲［做家佣自由一点儿］。,daa3 zyu6gaa1gung1,四字组习语,现代粤语词典-1362
159,大安指拟,习语。过分放心、放任不管：你咪咁～，佢随时唔帮你［别太放心，他随时不帮您的］。又说“大安主义”。,daai6on1 zi3 yi5,四字组习语,现代粤语词典-1363
160,大安主义,习语。同“大安指拟”。,daai6on1 zyu3yi5,四字组习语,现代粤语词典-1364
161,大把世界,习语。形容前途无量、来日方长，或指挣钱机会多、能过上好日子等：你依家好好读书，将来～啦［你现在好好读书，前途无量］。,daai6baa3 sai5gaai5,四字组习语,现代粤语词典-1365
162,大大话话,习语。大概地说；不夸张地说；粗略估计：呢间屋～都要几十万［这个房子怎么说也要几十万元］。,daai6daai6waa6waa6,四字组习语,现代粤语词典-1366
163,大癫大废,习语。嘻嘻哈哈、大大咧咧、漫不经心的样子：佢成日～，乜都唔使忧［你看他什么都不发愁，大大咧咧的］。,daai6din1daai6fai5,四字组习语,现代粤语词典-1367
164,大红大紫,习语。红得发紫：我睇好呢个歌星，第时肯定～［我看好这个歌星，以后肯定能红得发紫］。又说“大紫大红”。,daai6hung2daai6zi3,四字组习语,现代粤语词典-1368
165,大花大朵,习语。花布上的图案太大或过于艳丽：呢款窗帘～噉，唔好睇［这款窗帘布太花哨了，不好看］。,daai6faa1daai6doe3,四字组习语,现代粤语词典-1369
166,大鸡三味,习语。一只鸡做成三样菜式。,daai6gai1 saam1mei3,四字组习语,现代粤语词典-1370
167,大吉利市,习语。不吉利：晨早流流碰到啲衰嘢，真系～［一大早就碰到倒霉事，真是不吉利］！又说“大吉利事”。,daai6gad7lai6si4,四字组习语,现代粤语词典-1371
168,大吉利事,习语。同“大吉利市”。又作“大吉利是”。,daai6gad7lai6si6,四字组习语,现代粤语词典-1372
